"Run","Sample.Name","Experiment","name_CW"
"SRR7279494","Tegucigalpa","SRX4183297","CW0008"
"SRR7279547","BGV008224","SRX4183244","CW0010"
"SRR7279560","BGV008070","SRX4183231","CW0011"
"SRR7279726","BGV007902","SRX4183065","CW0012"
"SRR7279550","BGV007931","SRX4183241","CW0014"
"SRR7279517","LA1712","SRX4183274","CW0016"
"SRR7279519","BGV014522","SRX4183272","CW0018"
"SRR7279511","BGV006230","SRX4183280","CW0019"
"SRR7279567","BGV006906","SRX4183224","CW0020"
"SRR7279572","BGV007934","SRX4183219","CW0021"
"SRR7279630","BGV012625","SRX4183161","CW0022"
"SRR7279486","BGV006234","SRX4183305","CW0023"
"SRR7279691","BGV007894","SRX4183100","CW0024"
"SRR7279703","BGV007867","SRX4183088","CW0025"
"SRR7279501","Voyage","SRX4183290","CW0026"
"SRR7279591","BGV007936","SRX4183200","CW0027"
"SRR7279531","BGV008065","SRX4183260","CW0028"
"SRR7279533","BGV008218","SRX4183258","CW0029"
"SRR7279497","BGV015730","SRX4183294","CW0033"
"SRR7279574","BGV008223","SRX4183217","CW0034"
"SRR7279554","BGV006779","SRX4183237","CW0035"
"SRR7279620","BGV008061","SRX4183171","CW0038"
"SRR7279555","BGV012639","SRX4183236","CW0039"
"SRR7279549","BGV013161","SRX4183242","CW0040"
"SRR7279604","BGV007920","SRX4183187","CW0042"
"SRR7279618","BGV007989","SRX4183173","CW0043"
"SRR7279708","BGV006881","SRX4183083","CW0045"
"SRR7279590","BGV008100","SRX4183201","CW0047"
"SRR7279510","BGV006231","SRX4183281","CW0048"
"SRR7279678","BGV007863","SRX4183113","CW0049"
"SRR7279496","BGV014519","SRX4183295","CW0051"
"SRR7279561","BGV007992","SRX4183230","CW0052"
"SRR7279644","BGV006806","SRX4183147","CW0053"
"SRR7279622","BGV008051","SRX4183169","CW0054"
"SRR7279621","BGV008041","SRX4183170","CW0055"
"SRR7279679","BGV007864","SRX4183112","CW0056"
"SRR7279664","PI129026","SRX4183127","CW0057"
"SRR7279633","BGV008348","SRX4183158","CW0058"
"SRR7279524","BGV015734","SRX4183267","CW0059"
"SRR7279594","BGV006777","SRX4183197","CW0060"
"SRR7279552","BGV012615","SRX4183239","CW0061"
"SRR7279551","BGV012626","SRX4183240","CW0062"
"SRR7279523","LA2309","SRX4183268","CW0063"
"SRR7279706","BGV006792","SRX4183085","CW0064"
"SRR7279690","BGV007895","SRX4183101","CW0065"
"SRR7279568","BGV006859","SRX4183223","CW0069"
"SRR7279610","BGV012627","SRX4183181","CW0071"
"SRR7279542","BGV008095","SRX4183249","CW0073"
"SRR7279513","BGV006753","SRX4183278","CW0074"
"SRR7279489","BGV006229","SRX4183302","CW0075"
"SRR7279642","BGV006899","SRX4183149","CW0076"
"SRR7279660","BGV007857","SRX4183131","CW0077"
"SRR7279722","BGV007878","SRX4183069","CW0079"
"SRR7279569","BGV014515","SRX4183222","CW0080"
"SRR7279538","BGV007910","SRX4183253","CW0081"
"SRR7279585","BGV006825","SRX4183206","CW0082"
"SRR7279509","BGV006175","SRX4183282","CW0083"
"SRR7279482","BGV006904","SRX4183309","CW0084"
"SRR7279684","BGV007860","SRX4183107","CW0085"
"SRR7279645","BGV006901","SRX4183146","CW0086"
"SRR7279627","BGV008077","SRX4183164","CW0087"
"SRR7279661","BGV006896","SRX4183130","CW0088"
"SRR7279566","BGV008098","SRX4183225","CW0089"
"SRR7279725","BGV007865","SRX4183066","CW0090"
"SRR7279631","BGV014508","SRX4183160","CW0091"
"SRR7279607","BGV008225","SRX4183184","CW0093"
"SRR7279606","BGV007909","SRX4183185","CW0094"
"SRR7279724","BGV007875","SRX4183067","CW0095"
"SRR7279670","PI129088","SRX4183121","CW0096"
"SRR7279603","BGV013175","SRX4183188","CW0097"
"SRR7279512","BGV006767","SRX4183279","CW0098"
"SRR7279546","BGV012613","SRX4183245","CW0099"
"SRR7279671","BGV007900","SRX4183120","CW0101"
"SRR7279681","BGV007899","SRX4183110","CW0102"
"SRR7279526","PI487625","SRX4183265","CW0103"
"SRR7279485","BGV006232","SRX4183306","CW0104"
"SRR7279593","BGV007981","SRX4183198","CW0106"
"SRR7279579","BGV007921","SRX4183212","CW0107"
"SRR7279611","BGV006852","SRX4183180","CW0108"
"SRR7279498","BGV015726","SRX4183293","CW0109"
"SRR7279652","BGV006768","SRX4183139","CW0111"
"SRR7279637","BGV007876","SRX4183154","CW0112"
"SRR7279539","BGV007918","SRX4183252","CW0113"
"SRR7279689","BGV007862","SRX4183102","CW0115"
"SRR7279508","BGV006225","SRX4183283","CW0117"
"SRR7279557","BGV008096","SRX4183234","CW0118"
"SRR7279612","BGV008037","SRX4183179","CW0119"
"SRR7279651","BGV006931","SRX4183140","CW0120"
"SRR7279723","BGV007872","SRX4183068","CW0121"
"SRR7279639","BGV007854","SRX4183152","CW0122"
"SRR7279481","BGV005912","SRX4183310","CW0123"
"SRR7279643","BGV006907","SRX4183148","CW0124"
"SRR7279578","BGV007935","SRX4183213","CW0125"
"SRR7279615","BGV008042","SRX4183176","CW0126"
"SRR7279709","BGV006934","SRX4183082","CW0129"
"SRR7279711","BGV007871","SRX4183080","CW0130"
"SRR7279657","PI406890","SRX4183134","CW0131"
"SRR7279715","BGV008221","SRX4183076","CW0132"
"SRR7279602","BGV014516","SRX4183189","CW0133"
"SRR7279545","PI129033","SRX4183246","CW0135"
"SRR7279682","BGV007023","SRX4183109","CW0137"
"SRR7279491","BGV005895","SRX4183300","CW0139"
"SRR7279714","BGV007911","SRX4183077","CW0140"
"SRR7279563","BGV008067","SRX4183228","CW0141"
"SRR7279688","BGV007870","SRX4183103","CW0142"
"SRR7279680","BGV007901","SRX4183111","CW0143"
"SRR7279548","BGV012614","SRX4183243","CW0144"
"SRR7279649","BGV007015","SRX4183142","CW0145"
"SRR7279647","BGV006867","SRX4183144","CW0146"
"SRR7279575","BGV007908","SRX4183216","CW0148"
"SRR7279556","BGV007933","SRX4183235","CW0149"
"SRR7279492","BGV004584","SRX4183299","CW0151"
"SRR7279605","BGV012640","SRX4183186","CW0153"
"SRR7279636","BGV007017","SRX4183155","CW0154"
"SRR7279609","BGV008219","SRX4183182","CW0155"
"SRR7279717","BGV008189","SRX4183074","CW0156"
"SRR7279640","BGV006865","SRX4183151","CW0157"
"SRR7279595","BGV008036","SRX4183196","CW0159"
"SRR7279634","BGV013945","SRX4183157","CW0160"
"SRR7279587","BGV006927","SRX4183204","CW0161"
"SRR7279564","BGV007990","SRX4183227","CW0162"
"SRR7279648","BGV006910","SRX4183143","CW0163"
"SRR7279646","BGV006828","SRX4183145","CW0164"
"SRR7279502","LA0767","SRX4183289","CW0165"
"SRR7279570","BGV013134","SRX4183221","CW0166"
"SRR7279573","BGV014514","SRX4183218","CW0167"
"SRR7279495","BGV015727","SRX4183296","CW0168"
"SRR7279534","BGV008106","SRX4183257","CW0169"
"SRR7279576","BGV008354","SRX4183215","CW0174"
"SRR7279608","BGV007927","SRX4183183","CW0176"
"SRR7279668","BGV006235","SRX4183123","CW0177"
"SRR7279536","BGV008108","SRX4183255","CW0178"
"SRR7279525","BGV014518","SRX4183266","CW0179"
"SRR7279571","BGV008345","SRX4183220","CW0180"
"SRR7279613","BGV008058","SRX4183178","CW0181"
"SRR7279677","BGV007111","SRX4183114","CW1000"
"SRR7279696","BGV015380","SRX4183095","CW1002"
"SRR7279666","BGV006353","SRX4183125","CW1003"
"SRR7279693","BGV007151","SRX4183098","CW1005"
"SRR7279490","BGV006208","SRX4183301","CW1006"
"SRR7279672","BGV007169","SRX4183119","CW1007"
"SRR7279700","BGV007366","SRX4183091","CW1009"
"SRR7279580","BGV006363","SRX4183211","CW1011"
"SRR7279686","BGV007181","SRX4183105","CW1012"
"SRR7279694","BGV007194","SRX4183097","CW1013"
"SRR7279710","BGV006775","SRX4183081","CW1018"
"SRR7279720","BGV007149","SRX4183071","CW1021"
"SRR7279506","BGV006457","SRX4183285","CW1022"
"SRR7279665","BGV006454","SRX4183126","CW1023"
"SRR7279483","BGV006148","SRX4183308","CW1024"
"SRR7279698","BGV015382","SRX4183093","CW1025"
"SRR7279721","BGV007339","SRX4183070","CW1026"
"SRR7279692","BGV007152","SRX4183099","CW1027"
"SRR7279667","BGV006336","SRX4183124","CW1028"
"SRR7279687","BGV007161","SRX4183104","CW1029"
"SRR7279505","BGV006478","SRX4183286","CW1030"
"SRR7279638","BGV007198","SRX4183153","CW1031"
"SRR7279623","BGV006327","SRX4183168","CW1032"
"SRR7279719","BGV007158","SRX4183072","CW1034"
"SRR7279535","BGV006347","SRX4183256","CW1035"
"SRR7279583","BGV006370","SRX4183208","CW1037"
"SRR7279683","BGV007109","SRX4183108","CW1039"
